Исходное слово,Перевод,Количество упоминаний
da,da,44
matil,matil,44
дашшш,dashsh,29
у,y,21
и,and,17
не,not,17
в,in,13
быть,be,13
она,she,12
на,Moscow City Committee for State Registration of Real Estate Titles,10
всё,Everything,9
с,c,9
что,what,9
мы,we're,8
они,Oni,8
мочь,might,8
вы,vy,7
ты,ration,7
а,a,6
экзамен,exam,6
но,Not edged,5
год,year,5
то,than,5
это,is,5
я,.,5
да,Yes,5
сказать,tell,4
ещё,more,4
бы,would,4
по,under,4
кстати,By the way,4
тот,Thoth,4
аристархов,aristarchus,4
за,for,4
к,к,4
привет,Hi,4
ли,Lee,4
узнать,recognize,3
понять,captain.,3
лекция,Lecture,3
вопрос,question,3
или,or,3
исит,isit,3
тоже,the same,3
один,Alone,3
ну,well,3
сейчас,"Now,",3
просто,Simple,3
знать,Aristocracy,3
так,so,3
этот,this...,3
плюс,plus,3
помочь,help,3
материал,material,3
там,there,3
ладноспасибо,"ok, thank you",3
нет,No,3
каждый,each,2
различаться,differ,2
дата,date,2
норма,Norm,2
зимой,Winter hiking trails,2
лето,summer,2
посмотреть,view,2
когда,when,2
ладный,ok,2
лоссова,lossova,2
точно,exact value,2
ага,Huh,2
думать,think,2
наш,En,2
вести,Vesti,2
вообще,at all,2
разный,different,2
пи,pi,2
весь,весь,2
вот,BDT,2
более,more than,2
матеш,matesh,2
таки,still,2
группа,Group,2
где,Where,2
примерно,estimation,2
неделя,week,2
скинуть,Reset,2
повод,occasion,2
если,if,2
сразу,reveal everything,2
достаточно,Sufficient,2
неявка,Absence,2
штука,pieces,2
пока,while,2
стип,stype,2
потому,because,2
два,two,2
хорошо,good,2
который,which the,2
поставить,put up,2
человек,people,2
большой,large,2
зимний,Winter (palace),2
хотеть,want,2
есть,yes,2
номер,number of,2
какнибыть,how to be,1
равно,equal,1
аххахаххах,ahhahahahah,1
агад,agad,1
ахах,haha! ,1
бысильно,strong,1
конечно,sure,1
яйцо,an egg,1
треш,треш),1
наверное,Robley.,1
билет,ticket,1
кинуть,to ditch someone,1
тема,theme,1
ждать,wait,1
новыевота,novyvota,1
делать,make,1
вашимион,vashimion,1
аристарховойсильный,aristarchovoysilny,1
курс,course,1
старший,Chief,1
просить,Ask us,1
жекак,zhekak,1
дашприветить,dash greet,1
стоить,to cost,1
зайти,Stop by,1
попробовать,Free trial,1
трешн,trashn,1
вряд,unlikely,1
должный,Due,1
целое,integer,1
деканат,Dean's Office,1
староста,stickler,1
беседа,Conversation,1
писать,write,1
сам,self,1
близкий,near,1
можно,May I come in? ,1
представлять,guess,1
известно,known.,1
допуск,tolerance,1
спасибо,thank you,1
январь,January,1
итог,total,1
семак,Semak,1
зачёт,passed,1
проверять,Check Out,1
конспект,6.2.1 Ð Ð±Ñ Ð¸Ðµ Ð¿Ð¾Ð»Ð¾Ð¶ÐµÐ½Ð¸Ñ,1
ещезакат,more sunset,1
приветта,hello,1
пожалуйста,please,1
всегда,Always,1
лёгкий,light,1
тут,here,1
кто,who,1
даже,even,1
дада,YESYES,1
ахпххахп,ahphhhhp,1
благодарить,to thank,1
теперь,at present,1
индивидуально,individually,1
отдельно,separately,1
странно,strange...,1
сильно,a lot,1
поискатьмать,searchmate,1
последнееточнон,latest,1
огромноеочень,hugevery,1
аудиториитолько,audienceonly,1
практика,internship,1
ладнохорошо,ok ok,1
совместный,joint,1
параллельно,in parallel,1
идти,going,1
препод,teacher,1
конкретно,Concrete,1
линейка,Ruler,1
эхвопрос,ehvoprospect,1
доп,Additional,1
подвох,subterfuge,1
списать,write off,1
сложно,Hard,1
зато,Closed city,1
чем,.,1
простой,easy,1
поверхностнаятак,superficial so,1
иб,IB,1
глубокаяу,deepу,1
наспать,наспать,1
заметилчто,noticed that,1
пипросто,piprosto,1
же,Wher,1
вопростой,question,1
заработать,Sell,1
постараться,to give it a go,1
надо,надо,1
тройка,Troika,1
выше,above,1
оценка,evaluation,1
тогда,then,1
заранее,in advance,1
хороший,Good,1
апхп,апхп,1
скидывать,dumping,1
до,to,1
точто,toto,1
надеяться,look forward to,1
слушать,listen,1
поискать,search,1
декабрь,December,1
серединеконце,middleend,1
спросить,to ask,1
забыть,forget,1
совсем,"like, I completely...",1
скок,skok,1
хотя,however,1
поздно,late,1
тем,the,1
демотивировать,demotivate,1
беседуить,talk,1
переслать,Forward,1
огромный,Huge,1
хорошоспасибо,thank you very much,1
учесть,Take into account,1
такой,so,1
стипендия,Scholarship,1
прощаться,to say goodbye,1
причина,root cause,1
весомый,weighty,1
без,without,1
соглашаться,agree,1
подвохна,gimmick,1
чувствоваться,feel,1
нусразу,nusraz,1
работать,work;,1
остаться,stay on the runway,1
сдать,pass,1
якобы,якобы,1
пересдача,attempt,1
пойти,to go,1
готовый,ready,1
предлог,Preposition,1
под,under,1
предложить,Send  Offer,1
интересный,interesting,1
выдать,give,1
яснокороча,clear-short,1
жёстко,Hard,1
учить,learn,1
вывод,withdrawal,1
общий,total,1
непреклонный,uncompromising,1
бесполезно,(Bespoljezno) No good.,1
давить,MashUp,1
жалость,sympathy,1
гордиться,to be proud of,1
пусть,Taking:,1
дотянуть,reach,1
ведь,am...,1
отвечать,reply,1
очень,very,1
чело,person,1
глаз,eye,1
мой,my,1
рассказывать,tell,1
понимание,Understanding,1
зубрёжка,cogging,1
только,only,1
знание,Knowledge,1
поверхностный,"superficial,",1
пара,pair,1
максимум,maximum,1
от,from,1
выйти,Log out,1
вероятность,Prob,1
сессия,Session,1
раз,time,1
как,as,1
проходить,"pass,",1
экз,Cps./copy,1
спроситькак,ask how,1
дашпривет,dashprivet,1
плохо,bad,1
убер,UBER,1
сожаление,regret,1
её,hers,1
скинутьмать,to throw off,1
возможность,Logical possibility,1
иметь,have	a,1
аристарховойна,aristarchovoyna,1
приветнужный,hrynunzhy,1
